district_id,district_name,ac_id,ac_name,ps_id,ps_name,doc_type,source_url,local_path,status,error
1,COOCHBEHAR,1,Mekliganj,113,Pranmajumdar State Plan Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part113.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part113.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,112,Barerdanga Girls Junior High School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p112.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p112.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,111,34 No. Khasbosh Kherajuddin N. S. Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p111.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p111.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,114,Halfali New Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part114.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part114.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,110,Barerdanga Junior Basic School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p110.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p110.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,115,Boxiganj No. 1 Govt. Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part115.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part115.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,116,Basrajbala Aided Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part116.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part116.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,115,Boxiganj No. 1 Govt. Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p115.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p115.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,105,Basarajbala Fifth Plan New Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p105.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p105.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,109,Choto Haldibari New Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p109.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p109.pdf,downloaded,
